"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","现金管理-智多鑫-详情页","图表万分收益图表确认","0","0","1","0","0"
"","现金管理-智多鑫-预约取款用例","预约取款成功后页面跳转","0","0","1","0","0"
"","现金管理-添鑫宝-应急取款用例","应急取款失败","0","0","1","0","0"
"","现金管理-更多-解约/暂停/分红查询测试用例","点击更多-暂停，点击确定按钮，暂停成功","0","1","1","0","0"
"","现金管理-添鑫宝-详情页","图表七日年化收益率确认","0","0","1","0","0"
"","现金管理-智多鑫-详情页","预约取款展开信息展示是否正确","0","0","1","0","0"
"","现金管理-添鑫宝-详情页","查看资产显示是否正确","0","0","1","0","0"
"","现金管理-更多-解约/暂停/分红查询测试用例","再次开通失败","0","0","2","0","0"
"","现金管理-添鑫宝-应急取款用例","应急取款后页面跳转取款成功","0","0","1","0","0"
"","现金管理-添鑫宝-详情页","应急取款默认信息展示是否正确","0","0","1","0","0"
"","现金管理-添鑫宝-签约-完成签约测试用例","点击确认框取消按钮关闭弹窗","0","0","1","0","0"
"","现金管理-添鑫宝-预约取款用例","进入预约管理页面","0","0","1","0","0"
"","现金管理-智多鑫-详情页","应急取款展开信息展示是否正确","0","0","1","0","0"
"","现金管理-添鑫宝-预约取款用例","预约取款成功","0","0","1","0","0"
"","现金管理-更多-解约/暂停/分红查询测试用例","点击再次开通，点击取消，关闭弹窗","0","0","2","0","0"
"","现金管理-智多鑫-应急取款用例","不输入金额，点击应急取款","0","0","1","0","0"
"","现金管理-添鑫宝-应急取款用例","应急取款确认框内容确认","0","0","1","0","0"
"","现金管理-智多鑫-详情页","图表七日年化收益率确认","0","0","1","0","0"
"","现金管理-添鑫宝-应急取款用例","参考可取金额显示是否正确","0","0","1","0","0"
"","现金管理-更多-解约/暂停/分红查询测试用例","确认解约","0","1","1","0","0"
"","现金管理-立即参与","点击现金管理后登录未签约用户","0","1","0","0","0"
"","现金管理-更多-解约/暂停/分红查询测试用例","点击再次开通，查看现金产品状态是否变为正常","0","1","1","0","0"
"","现金管理-更多-解约/暂停/分红查询测试用例","点击更多-解约-解约确认框内容校验","1","0","1","0","0"
"","现金管理添鑫宝签约专业投资者签约用例","专业投资者用户点击立即参与后点击签约","1","0","0","0","0"
"","现金管理-添鑫宝-详情页","基金类型默认信息展示是否正确","0","0","1","0","0"
"","现金管理-智多鑫-详情页","应急取款默认信息展示是否正确","0","0","1","0","0"
"","现金管理-智多鑫-应急取款用例","支持的银行列表","0","0","1","0","0"
"","现金管理-添鑫宝-详情页","图表万分收益图表确认","0","0","1","0","0"
"","现金管理-智多鑫-应急取款用例","应急取款成功","0","1","0","0","0"
"","现金管理-更多-预约记录测试用例","记录状态为已取消，取消按钮是否存在","0","1","0","1","0"
"","现金管理-更多-解约/暂停/分红查询测试用例","点击更多-暂停，点击取消按钮，关闭弹窗","0","0","2","0","0"
"","现金管理-更多-设置页面测试用例","点击应急取款按钮","0","0","2","0","0"
"","现金管理-添鑫宝-预约取款用例","不输入金额，点击预约取款","0","0","1","0","0"
"","现金管理-添鑫宝-预约取款用例","可取金额校验","0","0","1","0","0"
"","现金管理-添鑫宝-签约-完成签约测试用例","签约失败","0","0","1","0","0"
"","现金管理-更多-解约/暂停/分红查询测试用例","解约失败","0","0","2","0","0"
"","现金管理-添鑫宝-应急取款用例","不输入金额，点击应急取款","0","0","1","0","0"
"","现金管理-更多-设置页面测试用例","设置保留额度失败","0","0","2","0","0"
"","现金管理-更多-预约记录测试用例","查看第一条记录的状态是否正确","0","1","1","0","0"
"","现金管理-立即参与","未登录状态下，点击现金管理","0","0","1","0","0"
"","现金管理-智多鑫-详情页","预约取款默认信息展示是否正确","0","0","1","0","0"
"","现金管理-更多-设置页面测试用例","点击查看预约取款记录","0","0","2","0","0"
"","现金管理-添鑫宝-详情页","起购金额默认信息展示是否正确","0","0","1","0","0"
"","现金管理-添鑫宝-详情页","查看七日年化收益显示是否正确","0","0","1","0","0"
"","现金管理-更多-设置页面测试用例","取消保留额度失败","0","0","2","0","0"
"","现金管理-添鑫宝-详情页","基金管理人默认信息展示是否正确","0","0","1","0","0"
"","现金管理-添鑫宝-详情页","点击图表万分收益tab","0","0","1","0","0"
"","现金管理添鑫宝签约页面阅读协议测试","现金管理约页面产名称和产品类型","0","0","1","0","0"
"","现金管理-添鑫宝-详情页","买入展开信息展示是否正确","0","0","1","0","0"
"","现金管理-智多鑫-详情页","起购金额默认信息展示是否正确","0","0","1","0","0"
"","现金管理-智多鑫-详情页","基金托管人默认信息展示是否正确","0","0","1","0","0"
"","现金管理-添鑫宝-详情页","买入默认信息展示是否正确","0","0","1","0","0"
"","现金管理-更多-解约/暂停/分红查询测试用例","暂停失败","0","0","2","0","0"
"","现金管理-更多-设置页面测试用例","取消保留额度","0","0","2","0","0"
"","现金管理-智多鑫-预约取款用例","预约取款规则校验","0","0","1","0","0"
"","现金管理-更多-设置页面测试用例","点击预约取款按钮","0","0","2","0","0"
"","现金管理-添鑫宝-详情页","分红默认信息展示是否正确","0","0","1","0","0"
"","现金管理添鑫宝签约适当性用例","未签约用户点击立即参与后详情页面是否存在签约按钮","0","0","1","0","0"
"","现金管理-更多-解约/暂停/分红查询测试用例","点击取消解约，查看现金产品状态是否变为正常","0","1","1","0","0"
"","现金管理-智多鑫-应急取款用例","应急取款失败","0","1","0","0","0"
"","现金管理-更多-设置页面测试用例","设置页面点击解约，查看详情页面是否显示解约中","0","0","2","0","0"
"","现金管理-智多鑫-预约取款用例","可取金额校验","0","0","1","0","0"
"","现金管理-添鑫宝-应急取款用例","应急取款成功","0","0","1","0","0"
"","现金管理-添鑫宝-详情页","应急取款展开信息展示是否正确","0","0","1","0","0"
"","现金管理-智多鑫-应急取款用例","取消应急取款操作","0","0","1","0","0"
"","现金管理-添鑫宝-应急取款用例","取消应急取款操作","0","0","1","0","0"
"","现金管理-添鑫宝-预约取款用例","预约取款成功后页面跳转","0","0","1","0","0"
"","现金管理-智多鑫-详情页","查看七日年化收益显示是否正确","0","1","0","0","0"
"","现金管理-智多鑫-详情页","买入默认信息展示是否正确","0","0","1","0","0"
"","现金管理-添鑫宝-签约-完成签约2测试用例","机构户提示是否正确","1","0","0","0","0"
"","现金管理-添鑫宝-应急取款用例","进入应急取款页面","0","0","1","0","0"
"","现金管理-更多-设置页面测试用例","点击更多-设置，页面跳转","0","0","2","0","0"
"","现金管理-更多-解约/暂停/分红查询测试用例","点击更多-分红查询","0","0","2","0","0"
"","现金管理-更多-设置页面测试用例","设置保留额度为1","0","0","2","0","0"
"","现金管理-添鑫宝-详情页","基金托管人默认信息展示是否正确","0","0","1","0","0"
"","现金管理-智多鑫-详情页","点击图表七日年化收益率tab","0","0","1","0","0"
"","现金管理添鑫宝签约不适当性投资者签约用例","现金管理添鑫宝签约不适当性投资者签约","1","0","0","0","0"
