"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 24 17:55:11 CST 2019","Thu Oct 24 17:55:19 CST 2019","7830","建投自动化测试.现金管理测试用例","test_现金管理-智多鑫-页面详情","Test_现金管理_智多鑫_详情页","","","test_04图表万分收益图表确认","图表万分收益图表确认"
"passed","Thu Oct 24 17:57:04 CST 2019","Thu Oct 24 17:57:09 CST 2019","4570","建投自动化测试.现金管理测试用例","test_现金管理-智多鑫-预约取款","Test_现金管理_智多鑫_预约取款用例","","","test_4预约取款成功后页面跳转是否正确","预约取款成功后页面跳转"
"passed","Thu Oct 24 18:03:00 CST 2019","Thu Oct 24 18:03:01 CST 2019","60","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-应急取款","Test_现金管理_添鑫宝_应急取款","","","test_4应急取款失败","应急取款失败"
"passed","Thu Oct 24 18:01:02 CST 2019","Thu Oct 24 18:01:22 CST 2019","20948","建投自动化测试.现金管理测试用例","test_现金管理-更多-添鑫宝-解约暂停分红查询","Test_现金管理_更多_解约暂停分红查询测试用例","","","test_13暂停成功","点击更多-暂停，点击确定按钮，暂停成功"
"passed","Thu Oct 24 18:17:30 CST 2019","Thu Oct 24 18:17:38 CST 2019","7978","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-页面详情","Test_现金管理_添鑫宝_详情页","","","test_06图表七日年化收益率确认","图表七日年化收益率确认"
"passed","Thu Oct 24 17:55:45 CST 2019","Thu Oct 24 17:55:49 CST 2019","3949","建投自动化测试.现金管理测试用例","test_现金管理-智多鑫-页面详情","Test_现金管理_智多鑫_详情页","","","test_075预约取款展开文本","默认取款展开信息展示是否正确"
"passed","Thu Oct 24 18:16:46 CST 2019","Thu Oct 24 18:17:18 CST 2019","32093","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-页面详情","Test_现金管理_添鑫宝_详情页","","","test_0查看资产显示是否正确","查看资产显示是否正确"
"passed","Thu Oct 24 18:01:27 CST 2019","Thu Oct 24 18:01:27 CST 2019","60","建投自动化测试.现金管理测试用例","test_现金管理-更多-添鑫宝-解约暂停分红查询","Test_现金管理_更多_解约暂停分红查询测试用例","","","test_22再次开通失败","再次开通失败"
"passed","Thu Oct 24 18:03:01 CST 2019","Thu Oct 24 18:03:15 CST 2019","14117","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-应急取款","Test_现金管理_添鑫宝_应急取款","","","test_5应急取款成功后页面跳转是否正确","应急取款后页面跳转取款成功"
"passed","Thu Oct 24 18:17:56 CST 2019","Thu Oct 24 18:17:57 CST 2019","722","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-页面详情","Test_现金管理_添鑫宝_详情页","","","test_076应急取款默认文本","应急取款默认信息展示是否正确"
"passed","Thu Oct 24 18:11:53 CST 2019","Thu Oct 24 18:11:55 CST 2019","1736","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-签约3-完成签约","Test_现金管理_添鑫宝_签约3_完成签约","","","test_1点击确认框取消按钮关闭弹窗","点击确认框取消按钮关闭弹窗"
"passed","Thu Oct 24 18:18:23 CST 2019","Thu Oct 24 18:18:58 CST 2019","35003","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-预约取款","Test_现金管理_添鑫宝_预约取款用例","","","test_0进入预约管理页面","进入预约管理页面"
"passed","Thu Oct 24 17:55:50 CST 2019","Thu Oct 24 17:55:54 CST 2019","3906","建投自动化测试.现金管理测试用例","test_现金管理-智多鑫-页面详情","Test_现金管理_智多鑫_详情页","","","test_077应急取款展开文本","应急取款开展信息展示是否正确"
"passed","Thu Oct 24 18:19:06 CST 2019","Thu Oct 24 18:19:12 CST 2019","5528","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-预约取款","Test_现金管理_添鑫宝_预约取款用例","","","test_3预约取款成功","预约取款成功"
"passed","Thu Oct 24 18:01:22 CST 2019","Thu Oct 24 18:01:27 CST 2019","4438","建投自动化测试.现金管理测试用例","test_现金管理-更多-添鑫宝-解约暂停分红查询","Test_现金管理_更多_解约暂停分红查询测试用例","","","test_21取消再次开通操作","点击再次开通，点击取消，关闭弹窗"
"passed","Thu Oct 24 17:47:45 CST 2019","Thu Oct 24 17:47:57 CST 2019","11419","建投自动化测试.现金管理测试用例","test_现金管理-智多鑫-应急取款","Test_现金管理_智多鑫_应急取款","","","test_1不输入金额点击应急取款","不输入金额，点击应急取款"
"passed","Thu Oct 24 18:02:50 CST 2019","Thu Oct 24 18:02:53 CST 2019","2491","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-应急取款","Test_现金管理_添鑫宝_应急取款","","","test_11应急取款确认框内容确认","应急取款确认框内容确认"
"passed","Thu Oct 24 17:55:21 CST 2019","Thu Oct 24 17:55:29 CST 2019","7748","建投自动化测试.现金管理测试用例","test_现金管理-智多鑫-页面详情","Test_现金管理_智多鑫_详情页","","","test_06图表七日年化收益率确认","图表七日年化收益率确认"
"passed","Thu Oct 24 18:02:43 CST 2019","Thu Oct 24 18:02:44 CST 2019","1147","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-应急取款","Test_现金管理_添鑫宝_应急取款","","","test_01参考可取金额显示是否正确","参考可取金额显示是否正确"
"passed","Thu Oct 24 18:00:27 CST 2019","Thu Oct 24 18:00:37 CST 2019","9891","建投自动化测试.现金管理测试用例","test_现金管理-更多-添鑫宝-解约暂停分红查询","Test_现金管理_更多_解约暂停分红查询测试用例","","","test_02确认解约","确认解约"
"broken","Thu Oct 24 18:19:38 CST 2019","Thu Oct 24 18:20:39 CST 2019","60766","建投自动化测试.现金管理测试用例","test_现金管理-立即参与","Test_现金管理_立即参与","","","test_2点击现金管理后登录未签约用户","点击现金管理后登录未签约用户"
"broken","Thu Oct 24 17:59:04 CST 2019","Thu Oct 24 17:59:22 CST 2019","17766","建投自动化测试.现金管理测试用例","test_现金管理-更多-智多鑫-解约暂停分红查询","Test_现金管理_更多_解约暂停分红查询测试用例","","","test_23再次开通成功","点击再次开通，查看现金产品状态是否变为正常"
"passed","Thu Oct 24 17:59:48 CST 2019","Thu Oct 24 18:00:25 CST 2019","37365","建投自动化测试.现金管理测试用例","test_现金管理-更多-添鑫宝-解约暂停分红查询","Test_现金管理_更多_解约暂停分红查询测试用例","","","test_00点击更多_解约_解约确认框内容校验","点击更多-解约-解约确认框内容校验"
"failed","Thu Oct 24 18:08:05 CST 2019","Thu Oct 24 18:08:39 CST 2019","34231","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-签约1-适当性2","Test_现金管理_添鑫宝_签约1_适当性2","","","test_0专业投资者用户点击立即参与后点击签约","专业投资者用户点击立即参与后点击签约"
"passed","Thu Oct 24 18:18:03 CST 2019","Thu Oct 24 18:18:04 CST 2019","827","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-页面详情","Test_现金管理_添鑫宝_详情页","","","test_081基金类型默认文本","基金类型默认信息展示是否正确"
"broken","Thu Oct 24 17:58:07 CST 2019","Thu Oct 24 17:58:16 CST 2019","9228","建投自动化测试.现金管理测试用例","test_现金管理-更多-智多鑫-解约暂停分红查询","Test_现金管理_更多_解约暂停分红查询测试用例","","","test_02确认解约","确认解约"
"passed","Thu Oct 24 17:55:49 CST 2019","Thu Oct 24 17:55:50 CST 2019","772","建投自动化测试.现金管理测试用例","test_现金管理-智多鑫-页面详情","Test_现金管理_智多鑫_详情页","","","test_076应急取款默认文本","应急取款默认信息展示是否正确"
"passed","Thu Oct 24 17:47:37 CST 2019","Thu Oct 24 17:47:41 CST 2019","3791","建投自动化测试.现金管理测试用例","test_现金管理-智多鑫-应急取款","Test_现金管理_智多鑫_应急取款","","","test_02支持的银行列表","支持的银行列表"
"passed","Thu Oct 24 18:17:21 CST 2019","Thu Oct 24 18:17:28 CST 2019","7688","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-页面详情","Test_现金管理_添鑫宝_详情页","","","test_04图表万分收益图表确认","图表万分收益图表确认"
"broken","Thu Oct 24 17:48:01 CST 2019","Thu Oct 24 17:48:38 CST 2019","36410","建投自动化测试.现金管理测试用例","test_现金管理-智多鑫-应急取款","Test_现金管理_智多鑫_应急取款","","","test_32应急取款成功","应急取款成功"
"skipped","Thu Oct 24 18:06:43 CST 2019","Thu Oct 24 18:06:43 CST 2019","0","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-更多-预约取款记录","Test_现金管理_添鑫宝_更多_预约记录测试用例","","","test_4记录状态为已取消是否存在取消按钮","记录状态为已取消，取消按钮是否存在"
"passed","Thu Oct 24 17:58:32 CST 2019","Thu Oct 24 17:58:40 CST 2019","8163","建投自动化测试.现金管理测试用例","test_现金管理-更多-智多鑫-解约暂停分红查询","Test_现金管理_更多_解约暂停分红查询测试用例","","","test_11取消暂停确认框","点击更多-暂停，点击取消按钮，关闭弹窗"
"passed","Thu Oct 24 18:05:03 CST 2019","Thu Oct 24 18:05:07 CST 2019","4690","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-更多-设置","Test_现金管理_更多_设置页面测试用例","","","test_5点击应急取款按钮","点击应急取款按钮"
"passed","Thu Oct 24 18:19:03 CST 2019","Thu Oct 24 18:19:06 CST 2019","3006","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-预约取款","Test_现金管理_添鑫宝_预约取款用例","","","test_2不输入金额点击预约取款","不输入金额，点击预约取款"
"passed","Thu Oct 24 18:18:59 CST 2019","Thu Oct 24 18:18:59 CST 2019","542","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-预约取款","Test_现金管理_添鑫宝_预约取款用例","","","test_1可取金额校验","可取金额校验"
"passed","Thu Oct 24 18:11:55 CST 2019","Thu Oct 24 18:11:55 CST 2019","46","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-签约3-完成签约","Test_现金管理_添鑫宝_签约3_完成签约","","","test_2签约失败","签约失败"
"passed","Thu Oct 24 17:58:16 CST 2019","Thu Oct 24 17:58:16 CST 2019","13","建投自动化测试.现金管理测试用例","test_现金管理-更多-智多鑫-解约暂停分红查询","Test_现金管理_更多_解约暂停分红查询测试用例","","","test_03解约失败","解约失败"
"passed","Thu Oct 24 18:02:48 CST 2019","Thu Oct 24 18:02:50 CST 2019","1955","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-应急取款","Test_现金管理_添鑫宝_应急取款","","","test_1不输入金额点击应急取款","不输入金额，点击应急取款"
"passed","Thu Oct 24 18:04:24 CST 2019","Thu Oct 24 18:04:24 CST 2019","57","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-更多-设置","Test_现金管理_更多_设置页面测试用例","","","test_12设置保留额度失败",""
"broken","Thu Oct 24 17:52:55 CST 2019","Thu Oct 24 17:53:25 CST 2019","30211","建投自动化测试.现金管理测试用例","test_现金管理-智多鑫-更多-预约取款记录","Test_现金管理_智多鑫_更多_预约记录测试用例","","","test_3查看第一条记录的状态是否正确",""
"passed","Thu Oct 24 18:00:37 CST 2019","Thu Oct 24 18:00:37 CST 2019","14","建投自动化测试.现金管理测试用例","test_现金管理-更多-添鑫宝-解约暂停分红查询","Test_现金管理_更多_解约暂停分红查询测试用例","","","test_03解约失败","解约失败"
"passed","Thu Oct 24 18:19:34 CST 2019","Thu Oct 24 18:19:38 CST 2019","4150","建投自动化测试.现金管理测试用例","test_现金管理-立即参与","Test_现金管理_立即参与","","","test_1未登录状态下点击现金管理","未登录状态下，点击现金管理"
"passed","Thu Oct 24 17:55:45 CST 2019","Thu Oct 24 17:55:45 CST 2019","781","建投自动化测试.现金管理测试用例","test_现金管理-智多鑫-页面详情","Test_现金管理_智多鑫_详情页","","","test_074预约取款默认文本","预约取款默认信息展示是否正确"
"passed","Thu Oct 24 17:50:42 CST 2019","Thu Oct 24 17:50:47 CST 2019","4659","建投自动化测试.现金管理测试用例","test_现金管理-智多鑫-更多-设置","Test_现金管理_更多_设置页面测试用例","","","test_4点击查看预约取款记录","点击查看预约取款记录"
"passed","Thu Oct 24 18:17:50 CST 2019","Thu Oct 24 18:17:51 CST 2019","757","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-页面详情","Test_现金管理_添鑫宝_详情页","","","test_073起购金额","起购金额默认信息展示是否正确"
